2022-11-04 00:51:31,747 - __main__ - INFO - Token value: Token not available!
2022-11-04 00:51:32,147 - __main__ - INFO - crypto_name: BTC-USD, price:20265.53
2022-11-04 00:51:32,409 - __main__ - INFO - crypto_name: ETH-USD, price:1543.02
2022-11-04 00:51:32,683 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3793
2022-11-04 00:51:32,947 - __main__ - INFO - crypto_name: MATIC-USD, price:0.9627
2022-11-04 00:54:41,372 - __main__ - INFO - Token value: Token not available!
2022-11-04 00:54:41,781 - __main__ - INFO - crypto_name: BTC-USD, price:20256.95
2022-11-04 00:54:42,052 - __main__ - INFO - crypto_name: ETH-USD, price:1541.99
2022-11-04 00:54:42,303 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3792
2022-11-04 00:54:42,576 - __main__ - INFO - crypto_name: MATIC-USD, price:0.9626
2022-11-03 22:19:24,872 - __main__ - INFO - crypto_name: BTC-USD, price:20165.24
2022-11-03 22:19:24,983 - __main__ - INFO - crypto_name: ETH-USD, price:1525.82
2022-11-03 22:19:25,108 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3746
2022-11-03 22:19:25,212 - __main__ - INFO - crypto_name: MATIC-USD, price:0.9533
2022-11-03 23:25:08,188 - __main__ - INFO - crypto_name: BTC-USD, price:20189.02
2022-11-03 23:25:08,359 - __main__ - INFO - crypto_name: ETH-USD, price:1529.65
2022-11-03 23:25:08,743 - __main__ - INFO - crypto_name: ALGO-USD, price:0.369
2022-11-03 23:25:08,927 - __main__ - INFO - crypto_name: MATIC-USD, price:0.9497
2022-11-04 02:09:59,569 - __main__ - INFO - crypto_name: BTC-USD, price:20297.04
2022-11-04 02:09:59,737 - __main__ - INFO - crypto_name: ETH-USD, price:1540.61
2022-11-04 02:09:59,897 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3709
2022-11-04 02:10:00,241 - __main__ - INFO - crypto_name: MATIC-USD, price:1.0221
2022-11-04 04:02:59,487 - __main__ - INFO - crypto_name: BTC-USD, price:20311.17
2022-11-04 04:02:59,584 - __main__ - INFO - crypto_name: ETH-USD, price:1548.21
2022-11-04 04:02:59,643 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3749
2022-11-04 04:02:59,718 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1233
2022-11-04 05:26:59,808 - __main__ - INFO - crypto_name: BTC-USD, price:20371.15
2022-11-04 05:26:59,872 - __main__ - INFO - crypto_name: ETH-USD, price:1552.03
2022-11-04 05:26:59,936 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3816
2022-11-04 05:27:00,007 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1218
2022-11-04 06:31:15,901 - __main__ - INFO - crypto_name: BTC-USD, price:20633.74
2022-11-04 06:31:15,989 - __main__ - INFO - crypto_name: ETH-USD, price:1579.69
2022-11-04 06:31:16,115 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3871
2022-11-04 06:31:16,232 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1232
2022-11-04 07:20:40,859 - __main__ - INFO - crypto_name: BTC-USD, price:20570.44
2022-11-04 07:20:40,937 - __main__ - INFO - crypto_name: ETH-USD, price:1577.41
2022-11-04 07:20:41,026 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3882
2022-11-04 07:20:41,117 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1272
2022-11-04 08:32:21,497 - __main__ - INFO - crypto_name: BTC-USD, price:20620.04
2022-11-04 08:32:21,564 - __main__ - INFO - crypto_name: ETH-USD, price:1583.61
2022-11-04 08:32:21,628 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3851
2022-11-04 08:32:21,706 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1313
2022-11-04 09:21:12,798 - __main__ - INFO - crypto_name: BTC-USD, price:20601.29
2022-11-04 09:21:12,880 - __main__ - INFO - crypto_name: ETH-USD, price:1582.0
2022-11-04 09:21:12,966 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3852
2022-11-04 09:21:13,080 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1147
2022-11-04 10:25:07,079 - __main__ - INFO - crypto_name: BTC-USD, price:20580.56
2022-11-04 10:25:07,162 - __main__ - INFO - crypto_name: ETH-USD, price:1576.75
2022-11-04 10:25:07,267 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3893
2022-11-04 10:25:07,366 - __main__ - INFO - crypto_name: MATIC-USD, price:1.0994
2022-11-04 11:19:05,736 - __main__ - INFO - crypto_name: BTC-USD, price:20631.55
2022-11-04 11:19:05,828 - __main__ - INFO - crypto_name: ETH-USD, price:1589.21
2022-11-04 11:19:05,923 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3884
2022-11-04 11:19:06,022 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1248
2022-11-04 12:47:58,466 - __main__ - INFO - crypto_name: BTC-USD, price:20715.37
2022-11-04 12:47:58,561 - __main__ - INFO - crypto_name: ETH-USD, price:1601.79
2022-11-04 12:47:58,661 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3903
2022-11-04 12:47:58,773 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1523
2022-11-04 13:43:12,609 - __main__ - INFO - crypto_name: BTC-USD, price:20772.12
2022-11-04 13:43:12,705 - __main__ - INFO - crypto_name: ETH-USD, price:1612.29
2022-11-04 13:43:12,807 - __main__ - INFO - crypto_name: ALGO-USD, price:0.3889
2022-11-04 13:43:12,908 - __main__ - INFO - crypto_name: MATIC-USD, price:1.1403
